"","GrainRadius","PowderTemperature","ExtrusionRate","DieTemperature"
"1",82,150,12,220
"2",93,190,12,220
"3",114,150,24,220
"4",124,150,12,250
"5",111,190,24,220
"6",129,190,12,250
"7",157,150,24,250
"8",164,190,24,250
