"","Animals","Dose_x","Activity_y"
"1",1,0,10.9
"2",2,0,10.6
"3",3,0,10.8
"4",4,0,9.8
"5",5,0,9
"6",6,2.3,11
"7",7,2.3,11.6
"8",8,2.3,11.4
"9",9,2.3,9.9
"10",10,2.3,10.1
"11",11,4.6,10.6
"12",12,4.6,10.4
"13",13,4.6,8.8
"14",14,4.6,11.1
"15",15,4.6,8.4
"16",16,9.2,9.7
"17",17,9.2,7.8
"18",18,9.2,9
"19",19,9.2,8.2
"20",20,9.2,2.3
"21",21,18.4,2.9
"22",22,18.4,2.2
"23",23,18.4,3.4
"24",24,18.4,5.4
"25",25,18.4,8.2
