"","OpticalDensity","BandFrequency","FilmThickness"
"1",0.231,740,1.1
"2",0.107,740,0.62
"3",0.053,740,0.31
"4",0.129,805,1.1
"5",0.069,805,0.62
"6",0.03,805,0.31
"7",1.005,980,1.1
"8",0.559,980,0.62
"9",0.321,980,0.31
"10",2.948,1235,1.1
"11",1.633,1235,0.62
"12",0.934,1235,0.31
